Lake,NPP,Pastures,Peat.bogs,Non.irrigated.arable.land,Complex.cultivation.patterns,Land.principally.occupied.by.agriculture.with.significant.areas.of.natural.vegetation,Natural.grasslands,Beaches.dunes.sands,Discontinuous.urban.fabric,Green.urban.areas,Invsimpson
Austria_01,348.94499019999995,0.082286307,0.0,0.289338279,0.072234853,0.034103147,0.0,0.0,0.039647401,0.0,44.83578971
Austria_02,363.569436,0.030422807000000003,0.0,0.047735728,0.09473816,0.014880527,0.007887394,0.000393475,0.067794033,0.0,76.10796952
Austria_03,379.933098,0.019494905,0.0,0.063269827,0.131413381,0.031590607,0.0,0.0,0.181169694,0.0,31.63915519
Austria_07,135.6,0.056306305999999993,0.0,0.0,0.0,0.0,0.27442148,0.0,0.0074191840000000005,0.0,82.25226887
Croatia_01,436.4316836,0.070663957,0.0,0.007960705,0.030792682999999998,0.061517615,0.0,0.0,0.012127371000000001,0.0,106.9184797
Croatia_02,232.9999647,0.005626793000000001,0.0,0.013839072,0.03358142,0.070465686,0.023661675,0.0,0.011507652,0.0,35.74542643
Croatia_03,135.6,0.002080264,0.0,0.0,0.110730693,0.050576406,0.257996013,0.0,0.022059461000000002,0.0,72.79241871
Croatia_04,436.4316836,0.070663957,0.0,0.007960705,0.030792682999999998,0.061517615,0.0,0.0,0.012127371000000001,0.0,40.42610552
Denmark_01,207.5214029,0.0,0.000338472,0.0,0.0,0.003696462,0.0,0.0,0.0,0.0,60.31018256
Finland_02,135.6,0.0,0.064306358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.75367890000001
Finland_03,135.6,0.0,0.09502659599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.77085690000001
Finland_04,135.6,0.0,0.252531078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.4148613
Finland_05,135.6,0.0,0.008817119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.42311550000001
Finland_06,135.6,0.0,0.061369243,0.0,0.0008908989999999999,0.0,0.0,0.0,0.0,0.0,183.98768080000002
Finland_07,135.6,0.00259896,0.009196321,0.0049313609999999996,0.0,0.010995602,0.0,0.0,0.003531921,0.0,95.93195653
Finland_08,135.6,0.01462766,0.008928571,0.087006079,0.0,0.092515198,0.003609422,0.0,0.027925532000000003,0.0,48.23582006
Finland_09,135.6,0.025355252,0.042630259000000004,0.03362125,0.0,0.006594223000000001,0.0,0.0,0.087303799,0.0,18.84127808
Finland_13,135.6,0.0,0.002664275,0.214909388,0.0,0.068268749,0.0,0.0,0.012952068999999998,0.0,163.44738569999998
Finland_16,135.6,0.0,0.0,0.033039395,0.0,0.047268667,0.0,0.0,0.00091617,0.0,88.32923466
Finland_17,135.6,0.0,0.0040841670000000005,0.047744154000000004,0.0,0.036829158,0.0,0.0,0.02228379,0.0,57.19333963
France_02,387.7006213,0.098395983,0.0,0.06771527599999999,0.13094286,0.048964720999999996,0.018328446,0.0,0.077757043,0.0,102.0494092
France_04,370.6783334,0.05367893,0.0,0.0,0.00016722400000000002,0.0,0.339074693,0.0,0.003010033,0.0,14.9938265
France_05,351.51665560000004,0.245889198,0.0,0.15798128,0.021123198,0.005944852,0.0,0.0,0.024411838999999998,0.0,31.21412474
France_06,382.6775491,0.172133459,0.006954887,0.013862781999999999,0.12232142900000001,0.024765038,0.034163534,0.0,0.038674812,0.0,17.68535181
France_07,376.85657599999996,0.31234445,0.0,0.178737349,0.18981251,0.0,0.0,0.0,0.083831093,0.0,82.21735836
Germany_02,135.6,0.33118705,0.0,0.038489208999999996,0.001510791,0.004136691,0.0043165470000000004,0.0,0.198057554,0.00176259,138.5163808
Germany_03,135.6,0.284273368,0.0,0.26448568899999997,0.0,0.0,0.008305048,0.0,0.017332273999999998,0.0,14.13177505
Germany_04,229.8081772,0.133791891,0.0,0.311502433,0.000119235,0.00061704,0.0026321079999999998,0.0,0.06658817,0.001994202,86.59273083
Germany_05,245.9060961,0.10095882699999999,0.0,0.250673686,0.0,0.005702825999999999,0.005326816,0.0,0.043491884,0.0033214259999999997,96.2860171
Germany_07,244.98225150000002,0.161945444,9.6e-05,0.44928458600000004,6.12e-05,0.00017732299999999998,0.0013278110000000001,0.0,0.023656779,0.00030926,9.233877837
Germany_09,135.6,0.140055096,0.0,0.47724517899999996,0.0,0.0,0.0,0.0,0.015206612,0.0,44.07511021
Germany_10,233.42915860000002,0.15299442800000002,0.0013910729999999998,0.498425987,0.000373126,0.00098172,0.007837462,0.0,0.023646421,9.6e-05,44.55961678
Germany_11,259.1213814,0.118943677,0.0019322979999999998,0.5789021679999999,0.0,0.00944679,0.0,0.0,0.041866457,0.0,86.40318635
Italy_01,441.60231009999995,0.09408602199999999,0.0,0.133573442,0.040139889,0.074603299,0.020696315,0.002844765,0.011235515,0.0,131.8009701
Italy_02,188.5386015,0.0,0.0,0.176618038,0.143379957,0.0,0.0,0.0,0.001554118,0.0,88.47613671
Italy_03,429.93326490000004,0.006056201999999999,0.0,0.556632214,0.015153962,0.079726529,0.009609173,0.001103575,0.006325366,0.0,82.43375553
Italy_05,277.1865108,0.0,0.0,0.603039042,0.128031647,0.0,0.0,0.0012939960000000002,0.027026027999999997,0.0,73.98329928
Italy_06,426.44104810000005,0.006140105,0.0,0.460419005,0.078418444,0.09982229699999999,0.005349794000000001,0.0,0.014164796,0.0,47.33003221
Italy_07,240.4501914,0.003608717,0.0,0.0,0.0,0.007672903000000001,0.09158433199999999,0.0,0.0055006659999999995,0.0,31.80776037
Italy_08,322.34418999999997,0.136274809,0.0,0.457129771,0.163969466,0.006137405,0.0,0.0,0.069862595,0.002564885,70.32316966
Norway_01,178.16338430000002,0.0,0.015976598,0.10958595900000001,0.0,0.038478847999999996,0.0,0.0,0.0,0.0,140.0948195
Norway_02,159.93338269999998,0.0,0.02036632,0.085634226,0.006560961999999999,0.044969929000000006,0.0,0.0,0.027747402999999997,0.0,53.71181869
Norway_04,135.6,0.0,0.07802082099999999,0.0,0.033688151,0.00403556,0.0,0.0,0.0,0.0,82.48243190000001
Norway_05,118.17538359999999,0.0,0.093947799,0.0064955080000000005,0.0,0.006305858,0.0,0.0,0.0,0.0,52.95752387
Norway_07,45.25116416,0.0,0.073403996,0.0,0.0,0.0,0.005116959,0.0,0.0,0.0,116.415099
Norway_08,26.03064525,0.0,0.001886056,0.006503642,0.0,0.0,0.0,0.0,0.0,0.0,173.1298263
Norway_10,57.49786624,0.0,0.14549300699999998,0.0,0.0,0.004700905,0.0,0.0,0.0,0.0,77.30362091
Norway_12,51.98236877,0.0,0.149822538,0.0,0.0,0.004791482,0.0,0.0,0.0,0.0,106.91891770000001
Norway_13,51.98236877,0.0,0.064306358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.3237334
Norway_14,51.98236877,0.0,0.064306358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.28411570000002
Poland_01,239.0931538,0.133243728,0.0,0.540143369,0.0,0.006810035999999999,0.030017921,0.0,0.147132616,0.002956989,71.41663412
Poland_02,203.9013868,0.040737682000000004,0.0,0.45730801,0.002697495,0.019928434,0.0,0.0,0.026479494,0.0,115.1710178
Slovenia_01,364.85093789999996,0.048822433,0.0,0.002866288,0.047102661,0.069077533,0.002245259,0.0,0.02254813,0.0,91.26837877
Sweden_02,245.9972895,0.010022586,0.00088227,0.47303783200000005,0.0027173909999999996,0.057206380999999994,0.0,0.0,0.011787126,0.0,33.04672134
Sweden_03,20.34691072,0.003070696,0.0,0.066717845,0.008932933,0.020238677,0.0,0.0,0.007537161999999999,0.0,180.5512883
Sweden_04,61.89647726,0.017295366,0.0,0.102868551,0.007460334,0.049753072999999995,0.0,0.0,0.020552695,0.002059473,165.01611680000002
Sweden_05,44.14435419,0.010351909,0.001454263,0.060429618,0.002048179,0.030112122999999998,0.0,0.0,0.023362567,0.002453375,117.46548179999999
Sweden_06,215.9601582,0.0,0.009321972,0.0,0.001529386,0.017770009,0.0,0.0,0.008375209,0.0,79.30889212
Sweden_07,220.7270175,0.039067055,0.018731778,0.107434402,0.0070699709999999995,0.06618075799999999,0.0,0.0,0.000218659,0.0,53.85401816
Sweden_08,188.0123474,0.0,0.0183039,0.0,0.0,0.000229948,0.0,0.0,0.0,0.0,70.64197431
Sweden_09,187.44529719999997,0.0014319629999999999,0.0,0.048988205,0.009232393,0.021969326,0.0,0.0,0.0,0.0,35.59994775
Sweden_10,170.9631406,0.0,0.004635514,0.077233645,0.007327103000000001,0.022205607000000002,0.0,0.0,0.021084112000000002,0.0,75.06553478
Sweden_11,205.6809349,0.008887821,0.000660581,0.068039875,0.006305549000000001,0.065517656,0.0,0.0,0.0021619020000000003,0.0,55.8375464
Sweden_14,202.632577,0.018641435,0.0,0.071035165,0.026549922000000004,0.015746364,0.0,0.0,0.022525067000000003,0.0,47.69660888
Sweden_15,195.14141899999998,0.007195189,0.0072345790000000005,0.073356792,0.008219322,0.022872299,0.0,0.0,0.016622463,0.000367637,43.56666065
Sweden_16,16.175432699999998,0.003480885,0.001086519,0.09713279699999999,0.0053722330000000006,0.018993964,0.000402414,0.0,0.00944668,0.0,111.40834109999999
Sweden_17,172.49319319999998,0.002435065,0.0,0.112012987,0.0,0.026785714,0.0,0.0,0.012987013,0.0,90.40367652
Sweden_18,195.1762186,0.001045752,0.016633987,0.032026144,0.003986928,0.017091503,0.0,0.0,0.01124183,0.0014705879999999999,86.01053344
Sweden_182,197.5319429,0.001688476,0.063394605,0.02091408,0.013546184,0.009631989,0.0,0.0,0.0074830190000000005,0.0,38.17350405
Sweden_19,170.9631406,0.0027916959999999998,0.002433787,0.015604868000000001,0.0,0.006227631,0.0,0.0,0.000572656,0.0,82.91665034
Sweden_20,169.06254750000002,0.0,0.0,0.151168721,0.01521462,0.014279643,0.0,0.0,0.016192095,0.0,174.3524523
Sweden_22,173.5672136,0.0,0.0,0.11958333300000001,0.0,0.0075,0.0,0.0,0.00375,0.0,207.1646279
Sweden_24,132.18933959999998,0.001233397,0.066793169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79034336
Sweden_25,114.78742220000001,0.0,0.031581633,0.0,0.0,0.001887755,0.0,0.0,0.0,0.0,166.50055519999998
Sweden_26,138.5190851,0.0031260470000000003,0.024003572999999997,0.009992185,0.0009489780000000001,0.010494585,0.0,0.0,0.0,0.0,110.30847759999999
Sweden_28,12.2430464,0.000664282,0.10700051099999999,0.048109350999999995,0.0,0.007996934,0.0,0.0,0.004241185,0.000664282,180.4342491
Sweden_29,12.35239936,0.001246106,0.008598131,0.09271028,0.001661475,0.012066459,0.0,0.0,0.046417445,0.008888889,150.5843617
Sweden_32,193.7151427,0.0019022120000000001,0.0,0.011307595,0.003980555,0.018211921000000002,0.0,0.0,0.0,0.0,151.7282821
Sweden_33,71.4165207,0.0,0.035520712,0.0,0.0,0.00046780199999999996,0.0,0.0,0.0,0.0,147.8661367
Sweden_34,124.40007479999998,0.0,0.12169732400000001,0.002173913,0.003177258,0.0,0.0,0.0,0.0035953179999999997,0.0,126.7896557
Sweden_35,101.22486579999999,0.0028366940000000003,0.137819674,0.0,0.0,0.001352885,0.0,0.0,0.0,0.0,165.5382429
Sweden_38,77.97697741,0.0,0.113779603,0.0,0.004201681,0.006827731,0.0,0.0,0.0,0.0,103.3343284
Sweden_39,56.12655108,0.0,0.046811674000000005,0.042463494000000004,0.0,0.0,0.002443942,0.0,0.070884503,0.0,105.37872730000001
Sweden_40,19.41734181,0.001971257,0.021415543,0.043398742000000004,0.001138585,0.003224355,0.0006936210000000001,0.000444964,0.013872416,0.001243283,177.4762515
Sweden_41,63.01835873,0.000563124,0.028029745,0.035949021,0.000817283,0.007940958,0.0,0.00019092,0.0054367109999999995,0.0006968289999999999,181.6729669
Sweden_43,65.41439386,0.0,0.061418685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.66601310000001
Sweden_44,68.57323725,0.0,0.08104201700000001,0.0,0.0,0.0,0.0009411760000000001,0.0,0.0,0.0,90.44156356
Sweden_45,88.11089101,0.0048992029999999995,0.07962963,0.008837318,0.0,0.0,0.0,0.0,0.0,0.0,121.36037900000001
Sweden_46,135.6,0.0,0.316599583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.3350014
Sweden_48,44.99724698,0.0,0.0,0.0023155289999999998,0.0,0.032803333999999996,0.0,0.0,0.0,0.0,83.52701464
